title,link,channel name
zeus - perfect,https://soundcloud.com/yume-network/zeus-perfect,Yume
The Veronicas - Untouched (Emoticon 200 edit),https://soundcloud.com/emoticonharddance/the-veronicas-untouched-emoticon-200-edit,Emoticon
D!-Saint - Fiction,idk,idk
Hans Zimmer - S.T.A.Y. (The R3belz Bootleg),idk,idk
