title,link,channel name,alternative sources,do i have it downloaded
zeus - perfect,https://soundcloud.com/yume-network/zeus-perfect,Yume,None,None
The Veronicas - Untouched (Emoticon 200 edit),https://soundcloud.com/emoticonharddance/the-veronicas-untouched-emoticon-200-edit,Emoticon,None,lossless
D!-Saint - Fiction,idk,idk,None,lossy
Hans Zimmer - S.T.A.Y. (The R3belz Bootleg),idk,idk,None,lossy
Ghost Stories (D-Block & S-te-Fan) - Fallen Souls (Death Punch Edit),https://soundcloud.com/deathpunchofficial/fallen-souls-death-punch,Death Punch,None,None
NCTRN - Numb (Death Punch Refix),https://soundcloud.com/deathpunchofficial/death-punch-nctrn-numb,Death Punch,https://hypeddit.com/track/xxstcu,lossless
I see but it's fine - Blue Agent 1,https://soundcloud.com/adshgi/i-see-but-its-fine-blue-agent,adshgi,None,lossy
